technology,rsp,state,geography,download_busy,upload_busy,latency_busy,tier,underperforming
Fibre to the Premises,TPG,VIC,Urban,52.64,18.91,2.27,50/20 Mbps,FALSE
Fibre to the Premises,Leaptel,VIC,Urban,251.81,91.58,1.61,250/100 Mbps,FALSE
Fibre to the Premises,Aussie Broadband,VIC,Urban,271.59,23.66,2.08,250/25 Mbps,FALSE
Fibre to the Node,Aussie Broadband,TAS,Minor Rural,75.52,18.82,16.81,75/20 Mbps,FALSE
Fibre to the Premises,Exetel,VIC,Major Rural,52.03,18.77,3.99,50/20 Mbps,FALSE
Hybrid Fibre Coaxial,TPG,VIC,Urban,105.71,18.79,8.84,100/20 Mbps,FALSE
Fibre to the Node,Aussie Broadband,VIC,Urban,46.93,9.62,10.75,50/20 Mbps,FALSE
Fibre to the Premises,Optus,VIC,Urban,267.98,23.51,3,250/25 Mbps,FALSE
Hybrid Fibre Coaxial,Leaptel,VIC,Urban,103.86,35.85,7.92,100/40 Mbps,FALSE
Fibre to the Node,Aussie Broadband,VIC,Urban,41.65,9.41,12.79,50/20 Mbps,FALSE
Fibre to the Node,Superloop,VIC,Major Rural,39.36,11.8,13.4,50/20 Mbps,FALSE
Hybrid Fibre Coaxial,Dodo & iPrimus,VIC,Urban,53.13,18.87,8.11,50/20 Mbps,FALSE
Fibre to the Node,Launtel,TAS,Urban,49.67,15.03,17.27,100/20 Mbps,TRUE
Fibre to the Node,Other RSPs,VIC,Urban,77.2,16.65,9.74,100/20 Mbps,FALSE
Fibre to the Premises,Dodo & iPrimus,VIC,Major Rural,107,18.85,2.9,100/20 Mbps,FALSE
Fibre to the Premises,Leaptel,VIC,Urban,103.43,18.76,2.11,100/20 Mbps,FALSE
Fibre to the Premises,TPG,VIC,Urban,53.25,16.93,6.4,50/20 Mbps,FALSE
Fibre to the Node,Dodo & iPrimus,VIC,Remote,25.95,4.7,12.03,25/5 Mbps,FALSE
Fibre to the Node,Telstra,VIC,Urban,80.54,19.01,11.8,100/20 Mbps,FALSE
Fibre to the Premises,Leaptel,VIC,Urban,84.47,18.3,3.57,100/20 Mbps,FALSE
Fibre to the Premises,Optus,NT + SA,Urban,52.85,18.66,12.26,50/20 Mbps,FALSE
Fibre to the Premises,Dodo & iPrimus,NT + SA,Urban,106.61,18.84,14.28,100/20 Mbps,FALSE
Fibre to the Premises,Other RSPs,VIC,Urban,86.44,37.52,18.79,100/40 Mbps,FALSE
Fibre to the Premises,Aussie Broadband,VIC,Urban,99.71,18.91,1.92,100/20 Mbps,FALSE
Fibre to the Curb,Dodo & iPrimus,VIC,Urban,53.65,18.84,5.97,50/20 Mbps,FALSE
Fibre to the Premises,Dodo & iPrimus,VIC,Urban,107.17,18.65,2.85,100/20 Mbps,FALSE
Hybrid Fibre Coaxial,Optus,VIC,Urban,108.2,37.43,10.55,100/40 Mbps,FALSE
Fibre to the Premises,Exetel,NT + SA,Urban,265.62,23.52,10.29,250/25 Mbps,FALSE
Fibre to the Premises,Superloop,VIC,Urban,53.77,18.92,1.98,50/20 Mbps,FALSE
Fibre to the Premises,Launtel,VIC,Urban,97.25,34.66,4.92,100/40 Mbps,FALSE
Fibre to the Premises,Aussie Broadband,VIC,Urban,268.48,23.07,2.21,250/25 Mbps,FALSE
Fibre to the Node,Telstra,VIC,Major Rural,53.78,15.28,12.32,50/20 Mbps,FALSE
Fibre to the Premises,Exetel,NT + SA,Urban,50.25,17.92,11.58,50/20 Mbps,FALSE
Fibre to the Premises,iiNet,VIC,Urban,99.72,18.74,6.26,100/20 Mbps,FALSE
Fibre to the Node,iiNet,NT + SA,Urban,49,18.61,18.38,50/20 Mbps,FALSE
Fibre to the Node,Aussie Broadband,VIC,Urban,53.42,18.94,8.75,50/20 Mbps,FALSE
Fibre to the Premises,Exetel,TAS,Urban,104.07,37.44,11.31,100/40 Mbps,FALSE
Fibre to the Premises,Dodo & iPrimus,VIC,Urban,267.7,23.53,5.87,250/25 Mbps,FALSE
Hybrid Fibre Coaxial,TPG,VIC,Urban,53.13,18.8,8.77,50/20 Mbps,FALSE
Fibre to the Node,Superloop,VIC,Urban,53.71,5.43,11.7,50/20 Mbps,FALSE
Fibre to the Premises,Other RSPs,NT + SA,Urban,88.56,18.81,14.92,100/20 Mbps,FALSE
Fibre to the Premises,Telstra,VIC,Urban,54.09,19.06,1.98,50/20 Mbps,FALSE
Fibre to the Premises,Exetel,VIC,Urban,270.91,23.62,4.71,250/25 Mbps,FALSE
Fibre to the Node,TPG,TAS,Urban,11.79,0.98,19.71,12/1 Mbps,FALSE
Hybrid Fibre Coaxial,Telstra,VIC,Urban,97.33,18.28,10.12,100/20 Mbps,FALSE
Fibre to the Node,Superloop,NT + SA,Urban,97.09,37.84,19.55,100/40 Mbps,FALSE
Fibre to the Premises,TPG,TAS,Urban,51.99,16.65,16.18,50/20 Mbps,FALSE
Fibre to the Premises,Telstra,VIC,Urban,270.63,23.83,5.11,250/25 Mbps,FALSE
Fibre to the Node,Other RSPs,TAS,Major Rural,52.83,15.11,24.63,100/20 Mbps,TRUE
Hybrid Fibre Coaxial,Optus,VIC,Urban,54.43,18.94,8.87,50/20 Mbps,FALSE
Fibre to the Premises,iiNet,TAS,Urban,102.98,37.88,13.94,100/40 Mbps,FALSE
Fibre to the Node,iiNet,NT + SA,Urban,52.04,18.77,19.71,50/20 Mbps,FALSE
Hybrid Fibre Coaxial,Launtel,VIC,Urban,95.89,17.58,9.35,100/20 Mbps,FALSE
Fibre to the Premises,Launtel,TAS,Urban,100.93,18.06,9.14,100/20 Mbps,FALSE
Fibre to the Premises,Other RSPs,VIC,Urban,94.33,37.88,3.69,100/40 Mbps,FALSE
Hybrid Fibre Coaxial,Optus,VIC,Urban,107.17,37.4,9.29,100/40 Mbps,FALSE
Fibre to the Premises,Exetel,VIC,Urban,271.41,23.5,3.18,250/25 Mbps,FALSE
Fibre to the Premises,Aussie Broadband,VIC,Urban,106.28,18.87,2.94,100/20 Mbps,FALSE
Fibre to the Node,Telstra,VIC,Urban,54.14,19.07,10.71,50/20 Mbps,FALSE
